number,text
footnote 674,"Odio humani generis convicti.Theſe words may either ſignify the hatred of mankind towards the Chriſtians, or the hatred of the Chriſtians towards mankind. I have preferred the latter ſenſe, as the moſt agreeable to the ſtyle of Tacitus, and to the popular error, of which a precept of the Goſpel (See Luke xiv. 26.) had been, perhaps, the innocent occaſion. My interpretation is juſtified by the authority of Lipſius; of the Italian, the French, and the Engliſh tranſlators of Tacitus; of Moſheim (p. 102.), of Le Clerc (Hiſtoria Eccleſiaſt. p. 427.), of Dr. Lardner (Teſtimonies, vol. i. p. 345.), and of the biſhop of Glouceſter (Divine Legation, vol. iii. p. 38.). But as the wordconvictidoes not unite very happily with the reſt of the ſentence, James Gronovius has preferred the reading ofconjuncti,which is authoriſed by the valuable MS. of Florence."
footnote 675,Tacit. Annal. xv. 44.
footnote 676,"Nardini Roma Antica, p. 487. Donatus de Româ Antiquâ, l. iii. p. 449."
footnote 677,"Sueton. in Nerone, c. 16. The epithet ofmalefica,which ſome ſagacious commentators have tranſlatedmagical,is conſidered by the more rational Moſheim as only ſynonymous to theexitiabilisof Tacitus."
footnote 678,"The paſſage concerning Jeſus Chriſt, which was inſerted into the text of Joſephus, between the time of Origen and that of Euſebius, may furniſh an example of no vulgar forgery. The accompliſhment of the prophecies, the virtues, miracles, and reſurrection of Jeſus, are diſtinctly related. Joſephus acknowledges that he was the Meſſiah, and heſitates whether he ſhould call him a man. If any doubt can ſtill remain concerning this celebrated paſſage, the reader may examine the pointed objections of Le Fevre (Havercamp. Joſeph. tom. ii. p. 267—273.), the laboured anſwers of Daubuz (p. 187—232.), and the maſterly reply (Bibliothéque Ancienne et Moderne, tom, vii. p. 237—288.) of an anonymous critic, whom I believe to have been the learned Abbé de Longuerue."
footnote 679,"See the lives of Tacitus by Lipſius and the Abbé de la Bleterie, Dictionnaire de Bayle à l'article TACITE, and Fabricius, Biblioth. Latin. tom. ii. p. 386. Edit. Erneſt."
footnote 680,"Principatum Divi Nervae, et imperium Trajani, uberiorem ſecurioremque materiam ſenectuti ſepoſui. Tacit. Hiſt. i."
footnote 681,See Tacit. Annal. ii. 61. iv. 4.
footnote 682,"The player's name was Aliturus. Through the ſame channel, Joſephus (de Vitâ ſuâ, c. 3.), about two years before, had obtained the pardon and releaſe of ſome Jewiſh prieſts who were priſoners at Rome."
footnote 683,"The learned Dr. Lardner (Jewiſh and Heathen Teſtimonies, vol. ii. p. 102, 103.) has proved that the name of Galilaeans, was a very ancient, and perhaps the primitive, appellation of the Chriſtians."
footnote 684,"Joſeph. Antiquitat. xviii. 1, 2. Tillemont, Ruine des Juifs, p. 742. The ſons of Judas were crucified in the time of Claudius. His grandſon Eleazar, after Jeruſalem was taken, defended a ſtrong fortreſs with 960 of his moſt deſperate followers. When the battering ram had made a breach, they turned their ſwords againſt their wives, their children, and at length againſt their own breaſts. They died to the laſt man."
footnote 685,"See Dodwell. Paucitat. Mart. l. xiii. The Spaniſh Inſcription in Gruter, p. 238, No. 9, is a manifeſt and acknowledged forgery, contrived by that noted impoſtor Cyriacus of Ancona, to flatter the pride and prejudices of the Spaniards. See Ferreras, Hiſtoire d'Eſpagne, tom. i. p. 192."
footnote 686,"The Capitol was burnt during the civil war between Vitellius and Veſpaſian, the 19th of December, A. D. 69. On the 10th of Auguſt, A. D. 70, the temple of Jeruſalem was deſtroyed by the hands of the Jews themſelves, rather than by thoſe of the Romans."
footnote 687,"The new Capitol was dedicated by Domitian. Sueton, in Domitian. c. 5. Plutarch in Poplicola, tom. i. p. 230. Edit. Bryan. The gilding alone coſt 12,000 talents (above two millions and a half). It was the opinion of Martial (l. ix. Epigram 3.), that if the emperor had called in his debts, Jupiter himſelf, even though he had made a general auction of Olympus, would have been unable to pay two ſhillings in the pound."
footnote 688,"With regard to the tribute, ſee Dion Caſſius, l. lxvi. p. 1082, with Reimarus's notes. Spanheim, de Uſû Numiſmatum, tom. ii. p. 571. and Baſnage, Hiſtoire des Juifs, l. vii. c. 2."
footnote 689,"Suetonius (in Domitian. c. 12.) had ſeen an old man of ninety publicly examined before the procurator's tribunal. This is what Martial calls, Mentula tributis damnata."
footnote 690,"This appellation was at firſt underſtood in the moſt obvious ſenſe, and it was ſuppoſed, that the brothers of Jeſus were the lawful iſſue of Joſeph and of Mary. A devout reſpect for the virginity of the mother of God, ſuggeſted to the Gnoſtics, and afterwards to the orthodox Greeks, the expedient of beſtowing a ſecond wife on Joſeph. The Latins (from the time of Jerome) improved on that hint, aſſerted the perpetual celibacy of Joſeph, and juſtified by many ſimilar examples the new interpretation that Jude, as well as Simon and James, who are ſtyled the brothers of Jeſus Chriſt, were only his firſt couſins. See Tillemont, Mem. Eccleſiaſt. tom. i. part iii. and Beauſobre, Hiſt. Critique du Manicheiſme, l. ii. c. 2."
footnote 691,"Thirty-nine〈 in non-Latin alphabet 〉, ſquares of an hundred feet each, which, if ſtrictly computed, would ſcarcely amount to nine acres. But the probability of circumſtances, the practice of other Greek writers, and the authority of M. de Valois, incline me to believe that the〈 in non-Latin alphabet 〉is uſed to expreſs the Roman jugerum."
footnote 692,"Euſebius, iii. 20. The ſtory is taken from Hegeſippus."
footnote 693,"See the death and character of Sabinus in Tacitus (Hiſt. iii. 74, 75.). Sabinus was the elder brother, and, till the acceſſion of Veſpaſian, had been conſidered as the principal ſupport of the Flavian family."
footnote 694,"Flavium Clementem patruelem ſuumcontemtiſſimae inertiae. . . ex tenuiſſimâ ſuſpicione interemit, Sueton, in Domitian, c. 15."
footnote 695,"The iſle of Pandataria, according to Dion. Bruttius Praeſens (apud Euſeb. iii. 18.) baniſhes her to that of Pontia, which was not far diſtant from the other. That difference, and a miſtake, either of Euſebius, or of his tranſcribers, have given occaſion to ſuppoſe two Domitillas, the wife and the niece of Clemens. See Tillemont, Memoires Eccleſiaſtiques, tom. ii. p. 224."
footnote 696,"Dion, l. lxvii. p. 1112. If the Bruttius Praeſens, from whom it is probable that he collected this account, was the correſpondent of Pliny (Epiſtol. vii. 3.), we may conſider him as a contemporary writer."
footnote 697,Suet. in Domit. c. 17. Philoſtratus in Vit. Apollon. l. viii.
footnote 698,"Dion, l. lxviii. p. 1118. Plin. Epiſtol. iv. 22."
footnote 699,"Plin. Epiſtol. x. 97. The learned Moſheim expreſſes himſelf (p. 147. 232.) with the higheſt approbation of Pliny's moderate and candid temper. Notwithſtanding Dr. Lardner's ſuſpicions (ſee Jewiſh and Heathen Teſtimonies, vol. ii. p. 46.), I am unable to diſcover any bigotry in his language or proceedings."
footnote 700,"Plin. Epiſt. v. 8. He pleaded his firſt cauſe A. D. 81; the year after the famous eruptions of Mount Veſuvius, in which his uncle loſt his life."
footnote 701,"Plin. Epiſtol. x. 98. Tertullian (Apolog. c. 5.) conſiders this reſcript as a relaxation of the ancient penal laws, ""quas Trajanus ex parte fruſtratus eſt:"" and yet Tertullian, in another part or his Apologiſts, expoſes the inconſiſtency of prohibiting inquiries, and enjoining puniſhments."
footnote 702,Euſebius (Hiſt. Eccleſiaſt. l. iv. c. 9.) has preſerved the edict of Hadrian. He has likewiſe (c. 13.) given us one ſtill more favourable under the name of Antoninus; the authenticity of which is not ſo univerſally allowed. The ſecond Apology of Juſtin contains ſome curious particulars relative to the accuſations of Chriſtians.
footnote 703,"See Tertullian (Apolog. c. 40.). The acts of the martyrdom of Polycarp exhibit a lively picture of theſe tumults, which were uſually fomented by the malice of the Jews."
footnote 704,Theſe regulations are inſerted in the above-mentioned edicts of Hadrian and Pius. See the apology of Melito (apud Euſeb. l. iv. c. 26.)
footnote 705,"See the reſcript of Trajan, and the conduct of Pliny. The moſt authentic acts of the martyrs abound in theſe exhortations."
footnote 706,"In particular, ſee Tertullian (Apolog. c. 2, 3.), and Lactantius (Inſtitut. Divin. v. 9.). Their reaſonings are almoſt the ſame; but we may diſcover, that one of theſe apologiſts had been a lawyer, and the other a rhetorician."
footnote 707,"See two inſtances of this kind of torture in the Acta Sincera Martyrum, publiſhed by Ruinart, p. 160. 399. Jerome, in his Legend of Paul the Hermit, tells a ſtrange ſtory of a young man, who was chained naked on a bed of flowers, and aſſaulted by a beautiful and wanton courtezan. He quelled the riſing temptation by biting off his tongue."
footnote 708,"The converſion of his wife provoked Claudius Herminianus, governor of Cappadocia, to treat the Chriſtians with uncommon ſeverity. Tertullian ad Scapulam, c. 3."
footnote 709,"Tertullian, in his epiſtle to the governor of Africa, mentions ſeveral remarkable inſtances of lenity and forbearance, which had happened within his knowledge."
footnote 710,"Neque enim in univerſum aliquid quod quaſi certam formam habeat, conſtitui poteſt: an expreſſion of Trajan, which gave a very great latitude to the governors of provinces."
footnote 711,"In Metalla damnamur, in inſulas relegemur. Tertullian. Apolog. c. 12. The mines of Numidia contained nine biſhops, with a proportionable number of their clergy and people, to whom Cyprian addreſſed a pious epiſtle of praiſe and comfort. See Cyprian. Epiſtol. 76, 77."
footnote 712,"Though we cannot receive with entire confidence, either the epiſtles, or the acts, of Ignatius (they may be found in the 2d volume of the Apoſtolic Fathers), yet we may quote that biſhop of Antioch as one of theſeexemplarymartyrs. He was ſent in chains to Rome as a public ſpectacle: and when he arrived at Troas, he received the pleaſing intelligence, that the perſecution of Antioch was already at an end."
footnote 713,"Among the martyrs of Lyons (Euſeb. l. v. c. 1.), the ſlave Blandina was diſtinguiſhed by more exquiſite tortures. Of the five martyrs ſo much celebrated in the acts of Felicitas and Perpetua, two were of a ſervile, and two others of a very mean, condition."
footnote 714,"Origen. adverſ. Celſum, l. iii. p. 116. His words deſerve to be tranſcribed. ""〈 in non-Latin alphabet 〉."""
footnote 715,"If we recollect thatallthe Plebeians of Rome were not Chriſtians, and that all the Chriſtians were not ſaints and martyrs, we may judge with how much ſafety religious honours can be aſcribed to bones or urns, indiſcriminately taken from the public burialplace. After ten centuries of a very free and open trade, ſome ſuſpicions have ariſen among the more learned catholics. They now require, as a proof of ſanctity and martyrdom, the letters B. M, a viol full of red liquor, ſuppoſed to be blood, or the figure of a palmtree. But the two former ſigns are of little weight, and with regard to the laſt, it is obſerved by the critics, 1. That the figure, as it is called, of a palm, is perhaps a cypreſs, and perhaps only a ſtop, the flouriſh of a comma, uſed in the monumental inſcriptions. 2. That the palm was the ſymbol of victory among the Pagans. 3. That among the Chriſtians it ſerved as the emblem, not only of martyrdom, but in general of a joyful reſurrection. See the epiſtle of P. Mabillon, on the worſhip of unknown ſaints, and Muratori ſopra le Antichitâ Italiane, Diſſertat. lviii."
footnote 716,"As a ſpecimen of theſe legends, we may be ſatisfied with 10,000 Chriſtian ſoldiers crucified in one day, either by Trajan or Hadrian, on mount Ararat. See Baronius ad Martyrologium Romanum. Tillemont, Mem. Eccleſiaſt. tom. ii. part ii. p. 438. and Geddes's Miſcellanies, vol. ii. p. 203. The abbreviation of MIL. which may ſignify eitherſoldiersorthouſands,is ſaid to have occaſioned ſome extraordinary miſtakes."
footnote 717,Dionyſius ap Euſeb. l. vi. c. 41. One of the ſeventeen was likewiſe accuſed of robbery.
footnote 718,"The letters of Cyprian exhibit a very curious and original picture, both of themanand of thetimes.See likewiſe the two lives of Cyprian, compoſed with equal accuracy, though with very different views; the one by Le Clerc (Bibliothéque Univerſelle, tom. xii. p. 208-378.), the other by Tillemont, Memoires Eccleſiaſtiques, tom. iv. part i. p. 76-459."
footnote 719,"See the polite but ſevere epiſtle of the clergy of Rome, to the biſhop of Carthage (Cyprian, Epiſt. 8, 9.). Pontius labours with the greateſt care and diligence to juſtify his maſter againſt the general cenſure."
footnote 720,"In particular thoſe of Dionyſius of Alexandria, and Gregory Thaumaturgus of Neo-Caeſarea. See Euſeb. Hiſt. Eccleſiaſt. l. vi. c. 40. and Memoires de Tillemont, tom. iv. part ii. p. 685."
footnote 721,"See Cyprian, Epiſt. 16. and his life by Pontius."
footnote 722,"We have an original life of Cyprian by the deacon Pontius, the companion of his exile, and the ſpectator of his death; and we likewiſe poſſeſs the ancient proconſular acts of his martyrdom. Theſe two relations are conſiſtent with each other, and with probability; and what is ſomewhat remarkable, they are both unſullied by any miraculous circumſtances."
footnote 723,"It ſhould ſeem that theſe were circular orders, ſent at the ſame time to all the governors. Dionyſius (ap. Euſeb. l. vii. c. 11.) relates the hiſtory of his own baniſhment from Alexandria, almoſt in the ſame manner. But as he eſcaped and ſurvived the perſecution, we muſt account him either more or leſs fortunate than Cyprian."
footnote 724,"See Plin. Hiſt. Natur. v. 3. Cellarius, Geograph. Antiq. part iii. p. 96. Shaw's Travels, p. 90.; and for the adjacent country (which is terminated by Cape Bona, or the promontory of Mercury), l'Afrique de Marmol. tom. ii. p. 494. There are the remains of an aqueduct, near Curubis, or Curbis, at preſent altered into Gurbes; and Dr. Shaw read an inſcription, which ſtyles that city,Colonia Fulvia.The deacon Pontius (in Vit. Cyprian. c. 12.) calls it ""Apricum et competentem locum, hoſpitium pro voiuntate ſecretum, et quicquid apponi eis ante promiſſum eſt, qui regnum et juſtitiam Dei quaerunt."""
footnote 725,See Cyprian. Epiſtol. 77. Edit. Fell.
footnote 726,"Upon his converſion, he had ſold thoſe gardens for the benefit of the poor. The indulgence of God (moſt probably the liberality of ſome Chriſtian friend) reſtored them to Cyprian. See Pontius, c. 15."
footnote 727,"When Cyprian, a twelvemonth before, was ſent into exile, he dreamt that he ſhould be put to death the next day. The event made it neceſſary to explain that word, as ſignifying a year. Pontius, c. 12."
footnote 728,"Pontius (c. 15.) acknowledges that Cyprian, with whom he ſupped, paſſed the night cuſtodiâ delicatâ. The biſhop exerciſed a laſt and very proper act of juriſdiction, by directing that the younger females, who watched in the ſtreet, ſhould be removed from the dangers and temptations of a nocturnal crowd. Act. Proconſularia, c. 2."
footnote 729,"See the original ſentence in the Acts, c. 4. and in Pontius, c. 17. The latter expreſſes it in a more rhetorical manner."
footnote 730,"Pontius, c. 19. M. de Tillemont (Memoires, tom. iv. part i. p. 450. note 50.) is not pleaſed with ſo poſitive an excluſion of any former martyrs of the epiſcopal rank."
footnote 731,"Whatever opinion we may entertain of the character or principles of Thomas Becket, we muſt acknowledge that he ſuffered death with a conſtancy not unworthy of the primitive martyrs. See Lord Lyttelton's Hiſtory of Henry II. vol. ii. p. 592, &c."
footnote 732,"See in particular the treatiſe of Cyprian de Lapſis, p. 87—98. Edit. Fell. The learning of Dodwell (Diſſertat. Cyprianic. xii. xiii.), and the ingenuity of Middleton (Free Enquiry, p. 162, &c.), have left ſcarcely any thing to add concerning the merit, the honours, and the motives of the martyrs."
footnote 733,"Cyprian. Epiſtol. 5, 6, 7. 22. 24. and de Unitat. Eccleſiae. The number of pretended martyrs has been very much multiplied, by the cuſtom which was introduced of beſtowing that honourable name on confeſſors."
footnote 734,"Certatim glorioſa in certamina ruebatur; multique avidius tum martyria glorioſis mortibus quaerebantur, quam nunc Epiſcopatus pravis ambitionibus appetuntur. Sulpicius Severus, l. ii. He might have omitted the wordnunc."
footnote 735,"See Epiſt. ad Roman. c. 4, 5. ap. Patres Apoſtol. tom. ii. p. 27. It ſuited the purpoſe of Biſhop Pearſon (ſee Vindiciae Ignatianae, part ii. c. 9.) to juſtify by a profuſion of examples and authorities, the ſentiments of Ignatius."
footnote 736,"The ſtory of Polyeuctes, on which Corneille has founded a very beautiful tragedy, is one of the moſt celebrated, though not perhaps the moſt authentic, inſtances of this exceſſive zeal. We ſhould obſerve, that the 60th canon of the council of Illiberis refuſes the title of martyrs to thoſe who expoſed themſelves to death, by publicly deſtroying the idols."
footnote 737,"See Epictetus, l. iv. c. 7. (though there is ſome doubt whether he alludes to the Chriſtians) Marcus Antoninus de Rebus fuis, l. xi. c. 3. Lucian in Peregrin."
footnote 738,"Tertullian ad Scapul. c. 5. The learned are divided between three perſons of the ſame name, who were all proconſuls of Aſia. I am inclined to aſcribe this ſtory to Antoninus Pius, who was afterwards emperor; and who may have governed Aſia, under the reign of Trajan."
footnote 739,"Moſheim, de Rebus Chriſt. ante Conſtantin. p. 235."
footnote 740,"See the Epiſtle of the Church of Smyrna, ap. Euſeb. Hiſt. Eccleſ. l. iv. c. 15."
footnote 741,"In the ſecond apology of Juſtin, there is a particular and very curious inſtance of this legal delay. The ſame indulgence was granted to accuſed Chriſtians, in the perſecution of Decius; and Cyprian (de Lapſis) expreſsly mentions theDies negantibus praeſtitutus."
footnote 742,"Tertullian conſiders flight from perſecution, as an imperfect, but very criminal, apoſtacy, as an impious attempt to elude the will of God, &c. &c. He has written a treatiſe on this ſubject (ſee p. 536—544. Edit. Rigalt.), which is filled with the wildeſt fanaticiſm, and the moſt incoherent declamation. It is, however, ſomewhat remarkable, that Tertullian did not ſuffer martyrdom himſelf."
footnote 743,"TheLibellatici,who are chiefly known by the writings of Cyprian, are deſcribed with the utmoſt preciſion, in the copious commentary of Moſheim, p. 483—489."
footnote 744,"Plin. Epiſtol. x. 97. Dionyſius Alexandrin. ap. Euſeb. I. vi. c. 41. Ad prima ſtatim verba minantis inimici maximus fratrum numerus fidem ſuam prodidit: nec proſtiatus eſt perſecutionis impetu, ſed voluntario lapſu ſeipſum proſtravit, Cyprian. Opera, p. 89. Among theſe deſerters were many prieſts, and even biſhops."
footnote 745,"It was on this occaſion that Cyprian wrote his treatiſe De Lapſis, and many of his epiſtles. The controverſy concerning the treatment of penitent apoſtates, does not occur among the Chriſtians of the preceding century. Shall we aſcribe this to the ſuperiority of their faith and courage, or to our leſs intimate knowledge of their hiſtory?"
footnote 746,"See Moſheim, p. 97. Sulpicius Severus was the firſt author of this computation; though he ſeemed deſirous of reſerving the tenth and greateſt perſecution for the coming of the Antichriſt."
footnote 747,"The teſtimony given by Pontius Pilate is firſt mentioned by Juſtin. The ſucceſſive improvements which the ſtory has acquired (as it paſſed through the hands of Tertullian, Euſebius, Epiphanius, Chryſoſtom, Oroſius, Gregory of Tours, and the authors of the ſeveral editions of the acts of Pilate), are very fairly ſtated by Dom Calmet, Diſſertat. ſur l'Ecriture, tom. iii. p. 651, &c."
footnote 748,"On this miracle, as it is commonly called, of the thundering legion, ſee the admirable criticiſm of Mr. Moyle, in his Works, vol. ii. p. 81—390."
footnote 749,"Dion Caſſius, or rather his abbreviator Xiphilin, l. lxxii. p. 1206. Mr. Moyle (p. 266.) has explained the condition of the church under the reign of Commodus."
footnote 750,"Compare the life of Caracalla in the Auguſtan Hiſtory, with the epiſtle of Tertullian to Scapula. Dr. Jortin (Remarks on Eccleſiaſtical Hiſtory, vol. ii. p. 5, &c.) conſiders the cure of Severus, by the means of holy oil, with a ſtrong deſire to convert it into a miracle."
footnote 751,"Tertullian de Fugâ, c. 13. The preſent was made during the feaſt of the Saturnalia; and it is a matter of ſerious concern to Tertullian, that the faithful ſhould be confounded with the moſt infamous profeſſions which purchaſed the connivance of the government."
footnote 752,"Euſeb. l. v. c. 23, 24. Moſheim, p. 435—447."
footnote 753,Judaeos fieri ſub gravi poena vetuit. Idem etiam de Chriſtianis ſanxit. Hiſt. Auguſt. p. 70.
footnote 754,"Sulpicius Severus, l. ii. p. 384. This computation (allowing for a ſingle exception) is confirmed by the hiſtory of Euſebius, and by the writings of Cyprian."
footnote 755,"The antiquity of Chriſtian churches is diſcuſſed by Tillemont (Memoires Eccleſiaſtiques, tom. iii. part ii. p. 68—72.), and by Mr. Moyle (vol. i. p. 378—398). The former refers the firſt conſtruction of them to the peace of Alexander Severus; the latter, to the peace of Gallienus."
footnote 756,"See the Auguſtan Hiſtory, p. 130. The emperor Alexander adopted their method of publicly propoſing the names of thoſe perſons who were candidates for ordination. It is true, that the honour of this practice is likewiſe attributed to the Jews."
footnote 757,"Euſeb. Hiſt. Eccleſiaſt. l. vi. c. 21. Hieronym. de Script. Eccleſ. c. 54. Mammaea was ſtyled a holy and pious woman, both by the Chriſtians and the Pagans. From the former, therefore, it was impoſſible that ſhe ſhould deſerve that honourable epithet."
footnote 758,"See the Auguſtan Hiſtory, p. 123. Moſheim (p. 465.) ſeems to refine too much on the domeſtic religion of Alexander. His deſign of building a public temple to Chriſt (Hiſt. Auguſt. p. 129.), and the objection which was ſuggeſted either to him, or in ſimilar circumſtances to Hadrian, appear to have no other foundation than an improbable report, invented by the Chriſtians, and credulouſly adopted by an hiſtorian of the age of Conſtantine."
footnote 759,"Euſeb. l. vi. c. 28. It may be preſumed, that the ſucceſs of the Chriſtians had exaſperated the increaſing bigotry of the Pagans. Dion Caſſius, who compoſed his hiſtory under the former reign, had moſt probably intended for the uſe of his maſter thoſe counſels of perſecution, which he aſcribes to a better age, and to the favourite of Auguſtus. Concerning this oration of Maecenas, or rather of Dion, I may refer to my own unbiaſſed opinion (vol. i. p. 55. Not. 25.), and to the Abbé de la Bleterie (Memoires de l'Academie, tom. xxiv. p. 303. tom. xxv. p. 432)."
footnote 760,"Oroſius, l. vii. c. 19. mentions Origen as the object of Maximin's reſentment; and Firmilianus, a Cappadocian biſhop of that age, gives a juſt and confined idea of this perſecution (apud Cyprian. Epiſt. 75.)."
footnote 761,"The mention of thoſe princes who were publicly ſuppoſed to be Chriſtians, as we find it in an epiſtle of Dionyſius of Alexandria (ap. Euſeb. l. vii. c. 10.), evidently alludes to Philip and his family; and forms a contemporary evidence, that ſuch a report had prevailed; but the Egyptian biſhop, who lived at an humble diſtance from the court of Rome, expreſſes himſelf with a becoming diffidence concerning the truth of the fact. The epiſtles of Origen (which were extant in the time of Euſebius, ſee l. vi. c. 36.) would moſt probably decide this curious, rather than important, queſtion."
footnote 762,"Euſeb. l. vi. c. 34. The ſtory, as is uſual, has been embelliſhed by ſucceeding writers, and is confuted, with much ſuperfluous learning, by Frederick Spanheim (Opera Varia, tom. ii. p. 400, &c.)."
footnote 763,"Lactantius, de Mortibus Perſecutorum, c. 3, 4. After celebrating the felicity and increaſe of the church, under a long ſucceſſion of good princes; he adds,Extitit poſt annos plurimos, execrabile animal, Decius, qui vexaret Eccleſiam."
footnote 764,"Euſeb. l. vi. c. 39. Cyprian. Epiſtol. 55. The ſee of Rome remained vacant from the martyrdom of Fabianus, the 20th of January, A. D. 250, till the election of Cornelius, the 4th of June, A. D. 251. Decius had probably left Rome, ſince he was killed before the end of that year."
footnote 765,"Euſeb. l. vii. c. 10. Moſheim (p. 548.) has very clearly ſhewn, that the Praefect Macrianus, and the EgyptianMagus,are one and the ſame perſon."
footnote 766,"Euſebius (l. vii. c. 13.) gives us a Greek verſion of this Latin edict, which ſeems to have been very conciſe. By another edict, he directed, that theCoemeteriaſhould be reſtored to the Chriſtians."
footnote 767,"Euſeb. l. vii. c. 30. Lactantius de M. P. c. 6. Hieronym. in Chron. p. 177. Oroſius, l. vii. c. 23. Their language is in general ſo ambiguous and incorrect, that we are at a loſs to determine how far Aurelian had carried his intentions before he was aſſaſſinated. Moſt of the moderns (except Dodwell, Diſſertat. Cyprian. xi. 64.) have ſeized the occaſion of gaining a few extraordinary martyrs."
footnote 768,"Paul was better pleaſed with the title ofDucenarius,than with that of biſhop. TheDucenariuswas an Imperial procurator, ſo called from his ſalary of two hundredSeſtertia,or 1,600 l. a year. (See Salmaſius ad Hiſt. Auguſt. p. 124.) Some critics ſuppoſe, that the biſhop of Antioch had actually obtained ſuch an office from Zenobia, while others conſider it only as a figurative expreſſion of his pomp and inſolence."
footnote 769,"Simony was not unknown in thoſe times; and the clergy ſometimes bought what they intended to ſell. It appears that the biſhopric of Carthage was purchaſed by a wealthy matron, named Lucilla, for her ſervant Majorinus. The price was 400Folles.(Monument. Antiq. ad calcem Optati, p. 263.) EveryFolliscontained 125 pieces of ſilver, and the whole ſum may be computed at about 2,400 l."
footnote 770,"If we are deſirous of extenuating the vices of Paul, we muſt ſuſpect the aſſembled biſhops of the Eaſt of publiſhing the moſt malicious calumnies in circular epiſtles addreſſed to all the churches of the empire (ap. Euſeb. l. vii. c. 30.)."
footnote 771,"His hereſy (like thoſe of Noetus and Sabellius, in the ſame century) tended to confound the myſterious diſtinction of the divine perſons. See Moſheim, p. 702, &c."
footnote 772,Euſeb. Hiſt. Eccleſiaſt. l. vii. c. 30. We are entirely indebted to him for the curious ſtory of Paul of Samoſata.
footnote 773,"The Aera of Martyrs, which is ſtill in uſe among the Copts and the Abyſſinians, muſt be reckoned from the 29th of Auguſt, A. D. 284.; as the beginning of the Egyptian year was nineteen days earlier than the real acceſſion of Diocletian. See Diſſertation preliminaire à l'Art de verifier les Dates."
footnote 774,"The expreſſion of Lactantius (de M. P. c. 15.) ""ſacrificio pollui coegit,"" implies their antecedent converſion to the faith; but does not ſeem to juſtify the aſſertion of Moſheim (p. 912.), that they had been privately baptized."
footnote 775,"M. de Tillemont (Memoires Eccleſiaſtiques, tom. v. part i. p. 11, 12.) has quoted from the Spicilegium of Dom. Luc d'Acheri, a very curious inſtruction which biſhop Theonas compoſed for the uſe of Lucian."
footnote 776,Lactantius de M. P. c. 10.
footnote 777,"Euſebius, Hiſt. Eccleſiaſt. l. viii. c. 1. The reader who conſults the original, will not accuſe me of heightening the picture. Euſebius was about ſixteen years of age at the acceſſion of the emperor Diocletian."
footnote 778,"We might quote, among a great number of inſtances, the myſterious worſhip of Mythras, and the Taurobolia; the latter of which became faſhionable in the time of the Antonines (See a Diſſertation of M. de Boze, in the Memoires de l'Academie des Inſcriptions, tom. ii. p. 443.). The romance of Apuleius is as full of devotion as of ſatire."
footnote 779,"The impoſtor Alexander very ſtrongly recommended the oracle of Trophonius at Mallos, and thoſe of Apollo, at Claros and Miletus (Lucian, tom. ii. p. 236. Edit. Reitz). The laſt of theſe, whoſe ſingular hiſtory would furniſh a very curious epiſode, was conſulted by Diocletian before he publiſhed his edicts of perſecution (Lactantius, de M. P. c. 11)."
footnote 780,"Beſides the ancient ſtories of Pythagoras and Ariſteas; the cures performed at the ſhrine of Aeſculapius, and the fables related of Apollonius of Tyana, were frequently oppoſed to the miracles of Chriſt; though I agree with Dr. Lardner (ſee Teſtimonies, vol. iii. p. 253. 352.), that when Philoſtratus compoſed the life of Apollonius, he had no ſuch intention."
footnote 781,"It is ſeriouſly to be lamented, that the Chriſtian fathers, by acknowledging the ſupernatural, or, as they deem it, the infernal, part of Paganiſm, deſtroy with their own hands the great advantage which we might otherwiſe derive from the liberal conceſſions of our adverſaries."
footnote 782,"Julian (p. 301. Edit. Spanheim) expreſſes a pious joy, that the providence of the gods had extinguiſhed the impious ſects, and for the moſt part deſtroyed the books of the Pyrrhonians and Epicureans, which had been very numerous, ſince Epicurus himſelf compoſed no leſs than 300 volumes. See Diogenes Laertius, l. x. c. 26."
footnote 783,"Cumque alios audiam muſſitare indignanter, et dicere opportere ſtatui per Senatum, aboleantur ut haec ſcripta, quibus Chriſtiana Religio comprobetur, et vetuſtatis opprimatur auctoritas. Arnobius adverſus Gentes, l. iii. p. 103, 104. He adds very properly, Erroris convincite Ciceronem . . . nam intercipere ſcripta, et publicatam velle ſubmergere lectionem, non eſt Deum defendere ſed veritatis teſtificationem timere."
footnote 784,"Lactantius (Divin. Inſtitut. l. v. c. 2, 3.) gives a very clear and ſpirited account of two of theſe philoſophic adverſaries of the faith. The large treatiſe of Porphyry againſt the Chriſtians conſiſted of thirty books, and was compoſed in Sicily about the year 270."
footnote 785,"See Socrates, Hiſt. Eccleſiaſt. l. i. c. 9. and Codex Juſtinian, l. i. tit. i. l. 3."
